Collection;Source;Original;Reasons for modication;Id;Text;Constraints;Negative;Type;ActionA;ActionB;Type;ActionA;ActionB;Type;ActionA;ActionB
1;1;;;0;A small company manufactures customized bicycles.;0;;;;;;;;;;
1;1;;;1;Whenever the sales department receives an order, a new process instance is created.;1;FALSE;EXISTENCE;receive order;;;;;;;
1;1;;;2;A member of the sales department can then reject or accept the order for a customized bike.;1;FALSE;NONCOOCCURRENCE;reject order;accept order;;;;;;
1;1;;;3;In the former case, the process instance is finished.;1;FALSE;END;finish process instance;;;;;;;
1;1;;;4;In the latter case, the storehouse and the engineering department are informed.;1;FALSE;EXISTENCE;inform;;;;;;;
1;1;;;5;The storehouse immediately processes the part list of the order and checks the required quantity of each part.;1;FALSE;EXISTENCE;check required quantity of each part;;;;;;;
1;1;;;6;If the part is available in-house, it is reserved.;1;FALSE;PRECEDENCE;the part is available in-house;reserve;;;;;;
1;1;;;7;If it is not available, it is back-ordered.;1;TRUE;PRECEDENCE;it is not available;back_order;;;;;;
1;1;;;8;This procedure is repeated for each item on the part list.;0;;;;;;;;;;
1;1;;;9;In the meantime, the engineering department prepares everything for the assembling of the ordered bicycle.;1;FALSE;EXISTENCE;prepare;;;;;;;
1;1;;;10;If the storehouse has successfully reserved or back-ordered every item of the part list and the preparation activity has finished, the engineering department assembles the bicycle.;1;FALSE;PRECEDENCE;the storehouse has successfully reserved or back-ordered every item of the part list and the preparation activity has finished;assemble the bicycle;;;;;;
1;1;;;11;Afterwards, the sales department ships the bicycle to the customer and finishes the process instance.;1;FALSE;PRECEDENCE;ship bicycle;finish process;;;;;;
