Collection;Source;Original;Reasons for modication;Id;Text;Constraints;Negative;Type;ActionA;ActionB;Type;ActionA;ActionB;Type;ActionA;ActionB
1;1;;;0;The MPON reports the meter operation to the GO.;0;;;;;;;;;;
1;1;;;1;The GO examines the application of the MPON.;0;;;;;;;;;;
1;1;;;2;The GO rejects the application of the MPON or the GO confirmes the application of the MPON.;1;FALSE;EXISTENCE;reject application;;;;;;;
1;1;;;3;The GO informs the MPOO about the registration confirmation of the MPON.;1;FALSE;EXISTENCE;inform registration confirmation;;;;;;;
1;1;;;4;The GO informs the MSPO about the registration confirmation of the MPON.;1;FALSE;EXISTENCE;inform registration confirmation;;;;;;;
1;1;;;5;The MPON and the MPOO perform the equipment acquisition and/or equipment changes.;1;FALSE;PRECEDENCE;perform equipment acquisition;change equipment;;;;;;
1;1;;;6;The MPON informs the GO about the failure of the entire process or the MPON informs the GO about the successful completion of the entire process.;1;FALSE;EXISTENCE;inform failure of the entire process;;;;;;;
1;1;;;7;The GO informs the MPON about the failure of the overall transaction by deadline if after a maximum time limit no message of the MPON is present at the GO.;1;FALSE;EXISTENCE;inform failure of the overall transaction;;;;;;;
1;1;;;8;If the MPON informs the GO about the failure of the entire process, the GO confirms the failure of the assignment to the MPON.;1;FALSE;PRECEDENCE;the MPON informs;confirm failure of the assignment ;;;;;;
1;1;;;9;If the MPON informs the GO about the successful completion of the overall process, the GO assigns the MPON.;1;FALSE;PRECEDENCE;the MPON informs;assign the MPON;;;;;;
1;1;;;10;The GO confirms the assignment to the MPON.;1;FALSE;EXISTENCE;confirm assignment;;;;;;;
1;1;;;11;The GO informs the MPOO about the failure of the assignment of the MPON or the GO informs the MPOO about the assignment of the MPON.;1;FALSE;EXISTENCE;inform failure of the assignment;;;;;;;
1;1;;;12;The GO informs the MSPO about the failure of the assignment of the MPON or the GO informs the MSPO about the assignment of the MPON.;1;FALSE;EXISTENCE;inform failure of the assignment;;;;;;;
1;1;;;13;The GO informs the SP about the assignment of the MPON.;1;FALSE;EXISTENCE;inform assignment of the MPON;;;;;;;
