Collection;Source;Original;Reasons for modication;Id;Text;Constraints;Negative;Type;ActionA;ActionB;Type;ActionA;ActionB;Type;ActionA;ActionB
1;1;;;0;The intake workflow starts with a notice by telephone at the secretarial office of the mental health care institute.;0;;;;;;;;;;
1;1;;;1;This notice is done by the family doctor of somebody who is in need of mental treatment.;0;;;;;;;;;;
1;1;;;2;The secretarial worker inquires after the name and residence of the patient.;1;FALSE;EXISTENCE;inquire;;;;;;;
1;1;;;3;On the basis of this information, the doctor is put through to the nursing officer responsible for the part of the region that the patient lives in.;1;FALSE;EXISTENCE;put;;;;;;;
1;1;;;4;The nursing officer makes a full inquiry into the mental, health, and social state of the patient in question.;1;FALSE;EXISTENCE;make inquiry;;;;;;;
1;1;;;5;This information is recorded on a registration form.;1;FALSE;EXISTENCE;record information;;;;;;;
1;1;;;6;At the end of the conversation, this form is handed in at the secretarial office of the institute.;1;FALSE;EXISTENCE;hand form;;;;;;;
1;1;;;7;Here, the information on the form is stored in the information system and subsequently printed.;1;FALSE;PRECEDENCE;store form;print form;;;;;;
1;1;;;8;For new patients, a patient file is created.;1;FALSE;PRECEDENCE;new patients;create patient file;;;;;;
1;1;;;9;The registration form as well as the print from the information system are stored in the patient file.;1;FALSE;PRECEDENCE;print registration form;store form;;;;;;
1;1;;;10;Patient files are kept at the secretarial office and may not leave the building.;1;TRUE;PRECEDENCE;keep patient files ;leave building;;;;;;
1;1;;;11;At the secretarial office, two registration cards are produced for respectively the future first and second intaker of the patient.;0;;;;;;;;;;
1;1;;;12;The registration card contains a set of basic patient data.;0;;;;;;;;;;
1;1;;;13;The new patient is added on the list of new notices.;0;;;;;;;;;;
1;1;;;14;Halfway the week, at Wednesday, a staff meeting of the entire medical team takes place.;0;;;;;;;;;;
1;1;;;15;The medical team consists of social-medical workers, physicians, and a psychiatrist.;0;;;;;;;;;;
1;1;;;16;At this meeting, the team-leader assigns all new patients on the list of new notices to members of the team.;0;;;;;;;;;;
1;1;;;17;Each patient will be assigned to a social-medical worker, who will act as the first intaker of the patient.;1;FALSE;EXISTENCE;assign patient;;;;;;;
1;1;;;18;One of the physicians will act as the second intaker.;0;;;;;;;;;;
1;1;;;19;In assigning intakers, the teamleader takes into account their expertise, the region they are responsible for, earlier contacts they might have had with the patient, and their case load.;1;FALSE;EXISTENCE;assign;;;;;;;
1;1;;;20;The assignments are recorded on an assignment list which is handed to the secretarial office.;1;FALSE;EXISTENCE;record assignments;;;;;;;
1;1;;;21;For each new assignment, it is also determined whether the medical file of the patient is required.;1;FALSE;EXISTENCE;the medical file of the patient is required;;;;;;;
1;1;;;22;This information is added to the assignment list.;1;FALSE;EXISTENCE;add information;;;;;;;
1;1;;;23;The secretarial office stores the assignment of each patient of the assignment list in the information system.;1;FALSE;EXISTENCE;store assignment;;;;;;;
1;1;;;24;It passes the produced registration cards to the first and second intaker of each newly assigned patient.;0;;;;;;;;;;
1;1;;;25;An intaker keeps this registration with him at times when visiting the patient and in his close proximity when he is at the office.;0;;;;;;;;;;
1;1;;;26;For each patient for which the medical file is required, the secretarial office prepares and sends a letter to the family doctor of the patient, requesting for a copy of the medical file.;3;FALSE;PRECEDENCE;require medical file;prepare letter;PRECEDENCE;require medical file;send letter;PRECEDENCE;require medical file;request copy of the medical file
1;1;;;27;As soon as this copy is received, the secretarial office will inform the second intaker and add the copy to the patient file.;1;FALSE;PRECEDENCE;receive copy;add copy to the patient file;;;;;;
1;1;;;28;The first intaker plans a meeting with the patient as soon as this is possible.;1;FALSE;EXISTENCE;plan meeting;;;;;;;
1;1;;;29;During the first meeting, the patient is examined using a standard checklist which is filled out.;1;FALSE;EXISTENCE;examine patient;;;;;;;
1;1;;;30;Additional observations are registered in a personal notebook.;1;FALSE;EXISTENCE;register additional observations;;;;;;;
1;1;;;31;After a visit, the first intaker puts a copy of these notes in the file of a patient.;0;;;;;;;;;;
1;1;;;32;The standard checklist is also added to the patient’s file.;1;FALSE;EXISTENCE;add checklis;;;;;;;
1;1;;;33;The second intaker plans the first meeting only after the medical information of the physician if required has been received.;1;FALSE;EXISTENCE;the second intaker plans the first meeting;;;;;;;
1;1;;;34;Physicians use dictaphones to record their observations made during meetings with patients.;1;FALSE;EXISTENCE;record their observations;;;;;;;
1;1;;;35;The secretarial office types out these tapes, after which the information is added to the patient file.;1;FALSE;EXISTENCE;add information;;;;;;;
1;1;;;36;As soon as the meetings of the first and second intaker with the patient have taken place, the secretarial office puts the patient on the list of patients that reach this status.;0;;;;;;;;;;
1;1;;;37;For the staff meeting on Wednesday, they provide the team-leader with a list of these patients.;0;;;;;;;;;;
1;1;;;38;For each of these patients, the first and second intaker together with the team-leader and the attending psychiatrist formulate a treatment plan.;1;FALSE;EXISTENCE;formulate a treatment plan;;;;;;;
1;1;;;39;This treatment plan formally ends the intake procedure.;1;FALSE;END;end treatment plan;;;;;;;
