Collection;Source;Original;Reasons for modication;Id;Text;Constraints;Negative;Type;ActionA;ActionB;Type;ActionA;ActionB;Type;ActionA;ActionB
1;1;;;0;As a basic principle, ACME AG receives invoices on paper or fax.;1;FALSE;EXISTENCE;receive invoices;;;;;;;
1;1;;;1;These are received by the Secretariat in the central inbox and forwarded after a short visual inspection to an accounting employee.;1;FALSE;EXISTENCE;forward;;;;;;;
1;1;;;2;"In ""ACME Financial Accounting"", a software specially developed for the ACME AG, she identifies the charging suppliers and creates a new instance (invoice).";1;FALSE;PRECEDENCE;identify;create;;;;;;
1;1;;;3;"She then checks the invoice items and notes the corresponding cost center at the ACME AG and the related cost center managers for each position on a separate form (""docket"").";1;FALSE;PRECEDENCE;check invoice items;Note corresponding cost center at the ACME AG;;;;;;
1;1;;;4;The docket and the copy of the invoice go to the internal mail together and are sent to the first cost center manager to the list.;1;FALSE;EXISTENCE;send docket and the copy of the invoice;;;;;;;
1;1;;;5;He reviews the content for accuracy after receiving the copy of the invoice.;0;;;;;;;;;;
1;1;;;6;"Should everything be in order, he notes his code one on the docket (""accurate position - AP"") and returns the copy of the invoice to the internal mail.";0;;;;;;;;;;
1;1;;;7;From it, the copy of the invoice is passed on to the next cost center manager, based on the docket, or if all items are marked correct, sent back to accounting.;2;FALSE;RESPONSE;pass copy of the invoice;all items are marked correct;PRECEDENCE;all items are marked correct;send back copy of the invoice;;;
1;1;;;8;Therefore, the copy of invoice and the docket gradually move through the hands of all cost center managers until all positions are marked as completely accurate.;0;;;;;;;;;;
1;1;;;9;However, if inconsistencies exist, e.g. because the ordered product is not of the expected quantity or quality, the cost center manager rejects the AP with a note and explanatory statement on the docket, and the copy of the invoice is sent back to accounting directly.;1;TRUE;ABSENCE;reject AP;;;;;;;
1;1;;;10;Based on the statements of the cost center managers, she will proceede with the clarification with the vendor, but, if necessary, she consults the cost center managers by telephone or e-mail again.;1;FALSE;EXISTENCE;clarification;;;;;;;
1;1;;;11;When all inconsistencies are resolved, the copy of the invoice is sent to the cost center managers again, and the process continues.;1;FALSE;PRECEDENCE;resolve inconsistencies;send copy of the invoice;;;;;;
1;1;;;12;After all invoice items are AP, the accounting employee forwards the copy of the invoice to the commercial manager.;0;;;;;;;;;;
1;1;;;13;He makes the commercial audit and issues the approval for payment.;1;FALSE;PRECEDENCE;make commercial audit;issue approval for payment;;;;;;
1;1;;;14;If the bill amount exceeds EUR 20,000, the Board wants to check it again (4-eyes-principle).;1;FALSE;PRECEDENCE;the bill amount exceeds EUR 20,000;check;;;;;;
1;1;;;15;The copy of the invoice including the docket moves back to the accounting employee in the appropriate signature file.;1;FALSE;EXISTENCE;move back;;;;;;;
1;1;;;16;Should there be a complaint during the commercial audit, it will be resolved by the accounting employee with the supplier.;0;;;;;;;;;;
1;1;;;17;"After the commercial audit is successfully completed, the accounting employee gives payment instructions and closes the instance in ""ACME financial accounting"".";2;FALSE;PRECEDENCE;complete commercial audit;give payment instructions;PRECEDENCE;complete commercial audit;close instance;;;
