collection;Source;original;reasons for modication;ID;Used constraint;Constraints;Negative;Type;ActionA;ActionB;Type;ActionA;ActionB;Type;ActionA;ActionB;;;;;;;;;
3;claimscreation.txt;;;0;The Police Report related to the car accident is searched within the Police Report database and put in a file together with the Claim Documentation.;1;;precedence;search report;put in a file together with the claim documentation;;;;;;;;;;;;;;;
3;Model1-2.txt;A customer brings in a defective computer and the manager checks the defect and hands out a repair cost calculation back.;;1;A customer brings in a defective computer and the manager analyzes the defect and gives back an invoice.;2;;precedence;bring in a defective computer;analyze the defect;precedence;analyze the defect;give invoice;;;;;;;;;;;;
3;Model1-2.txt;After each of these activities, the proper system functionality is tested.;;2;After each of these activities, the proper system functionality is tested.;2;;response;each of these activities;test proper system functionality;;;;;;;;;;;;;;;
3;Model1-2.txt;If an error is detected another arbitrary repair activity is executed, otherwise the repair is finished.;;3;If an error is detected, another arbitrary repair activity is executed, otherwise the repair is finished.;1;;precedence;error is detected;execute repair activity;;;;;;;;;;;;;;;
3;Model3-3.txt;After a claim is registered, it is examined by a claims officer.;;4;After a claim is registered, it is examined by a claims officer.;1;;precedence;register claim;examine claim;;;;;;;;;;;;;;;
3;Model3-3.txt;This recommendation is then checked by a senior claims officer who may mark the claim as OK or Not OK.;;5;This recommendation is then checked by a senior claims officer who may mark the claim as OK or Not OK.;2;;precedence;Check recommendation;Mark as OK;precedence;Check recommendation;Mark as Not OK;;;;;;;;;;;;
3;Model3-3.txt;If the claim is marked as Not OK, it is sent back to the claims officer and the recommendation is repeated.;;6;If the claim is marked as Not OK, it is sent back to the claims officer and the recommendation is repeated.;2;;precedence;Mark as not ok;send it back;precedence;send it back;Repeat recommendation;;;;;;;;;;;;
3;Model3-3.txt;If the claim is OK, the claim handling process proceeds.;;7;If the claim is OK, the claim handling process proceeds.;1;;precedence;Mark as Ok;Proceed with claim;;;;;;;;;;;;;;;
3;472026493_rev3.txt;The process of buying new hardware is started as soon as a request for new hardware is received by the IT department.;;8;The process of buying new hardware is started as soon as a request for new hardware is received by the IT department.;1;;init;Receive request for new hardware;;;;;;;;;;;;;;;;
3;472026493_rev3.txt;The next step is for the IT department to analyse the request and either approve or deny it.;;9;The next step is for the IT department to analyse the request and either approve or deny it.;2;;precedence;Analyze request;Approve request;precedence;Analyze request;Deny request;;;;;;;;;;;;
