Id	Text	Constraints	Negative	Constraints extracted	Gold	Predicted	Coincidence	Precision	Recall	F-Score
0	At the beginning the customer perceives that her subscribed service has degraded.	1	false	[INIT(A=perceive)]	0	2	0	0.0	NaN	NaN
1	A list with all the problem parameters is then sent to the Customer Service department of TELECO.	1	false	[EXISTENCE(A=send list with problem)]	2	2	2	1.0	1.0	1.0
2	At the customer service an employee enters (based on the received data) a problem report into system T..	1	false	[EXISTENCE(A=enter customer service)]	2	2	2	1.0	1.0	1.0
3	Then the problem report is compared to the customer SLA to identify what the extent and the details of the service degradation are.	1	false	[EXISTENCE(A=compare problem report)]	2	2	2	1.0	1.0	1.0
4	Based on this, the necessary counter measures are determined including their respective priorities.	1	false	[EXISTENCE(A=determine necessary counter measure)]	2	2	2	1.0	1.0	1.0
5	An electronic service then determines the significance of the customer based on information that has been collected during the history of the contractual relationship.	1	false	[PRECEDENCE(A=determine significance of customer, B=collect information)]	2	3	1	0.3333333333333333	0.5	0.4
6	In case the customer is premium, the process will link to an extra problem fix process (this process will not be detailed here).	1	true	[SUCCESSION(A=link process, B=detail process)]	3	4	2	0.5	0.6666666666666666	0.5714285714285715
7	In case the customer is of certain significance which would affect the counter measures previously decided upon, the process goes back to re-prioritize these measures otherwise the process continues.	1	false	[PRECEDENCE(A=affect counter, B=otherwise)]	0	3	0	0.0	NaN	NaN
8	Taking together the information (i.e. contract commitment data + prioritized actions) a detailed problem report is created.	2	false	[PRECEDENCE(A=take information, B=detail problem report), PRECEDENCE(A=take information, B=create problem report)]	2	6	0	0.0	0.0	NaN
9	The detailed problem report is then sent to Service Management.	1	false	[PRECEDENCE(A=detail problem report, B=send problem report)]	2	3	1	0.3333333333333333	0.5	0.4
10	Service Management deals on a first level with violations of quality in services that are provided to customers.	1	false	[EXISTENCE(A=provide)]	0	2	0	0.0	NaN	NaN
11	After receiving the detailed problem report, Service management investigates whether the problem is analyzable at the level of their department or whether the problem may be located at Resource Provisioning.	3	false	[PRECEDENCE(A=receive problem report, B=the problem is analyzable at the level of their department ), PRECEDENCE(A=the problem is analyzable at the level of their department , B=investigate), NONCOOCCURRENCE(A=the problem is analyzable at the level of their department , B=the problem may be located at Resource_Provisioning )]	9	9	4	0.4444444444444444	0.4444444444444444	0.4444444444444444
12	In case Service Management assesses the problem to be not analyzable by themselves, the detailed problem report is sent out to Resource Provisioning.	1	true	[ABSENCE(A=assess problem)]	3	3	2	0.6666666666666666	0.6666666666666666	0.6666666666666666
13	If Service Management is sure they can analyze it, they perform the analysis and based on the outcome they create a trouble report that indicates the type of problem.	2	false	[PRECEDENCE(A=Service_Management is sure they can analyze it , B=perform analysis), PRECEDENCE(A=Service_Management is sure they can analyze it , B=create outcome)]	3	6	1	0.16666666666666666	0.3333333333333333	0.2222222222222222
14	After Resource Provisioning receives the detailed problem report, it is checked whether there are any possible problems.	3	false	[PRECEDENCE(A=receive problem report, B=detail problem report), PRECEDENCE(A=receive problem report, B=there are any possible problems ), PRECEDENCE(A=there are any possible problems , B=check it)]	6	9	2	0.2222222222222222	0.3333333333333333	0.26666666666666666
15	If no problems are detected, a notification about the normal service execution is created.	1	false	[PRECEDENCE(A=no problems are detected , B=create notification about normal service)]	3	3	3	1.0	1.0	1.0
16	If a problem is detected this will be analyzed by Resource Provisioning and a trouble report is created.	2	false	[RESPONSE(A=a problem is detected , B=analyze this), PRECEDENCE(A=a problem is detected , B=create trouble report)]	9	6	5	0.8333333333333334	0.5555555555555556	0.6666666666666667
17	Either trouble report or the normal execution notification will be included in a status report and sent back to Service Management.	1	false	[PRECEDENCE(A=include trouble report, B=send)]	0	3	0	0.0	NaN	NaN
18	Service Management then prepares the final status report based on the received information.	1	false	[PRECEDENCE(A=prepare final status report, B=receive information)]	2	3	1	0.3333333333333333	0.5	0.4
19	Subsequently it has to be determined what counter measures should be taken depending on the information in the final status report.	1	false	[RESPONSE(A=determine, B=take measure)]	2	3	1	0.3333333333333333	0.5	0.4
20	Three alternative process paths may be taken.	1	false	[EXISTENCE(A=take 3 alternative process path)]	0	2	0	0.0	NaN	NaN
21	For the case that no problem was detected at all, the actual service performance is sent back to the Customer Service.	1	false	[PRECEDENCE(A=detect problem, B=send actual service performance)]	3	3	3	1.0	1.0	1.0
22	For the case that minor corrective actions are required, Service Management will undertake corrective actions by themselves.	1	false	[EXISTENCE(A=undertake corrective action)]	3	2	0	0.0	0.0	NaN
23	Subsequently, the problem resolution report is created and then sent out to Customer Service.	1	false	[PRECEDENCE(A=create problem resolution report, B=send)]	2	3	1	0.3333333333333333	0.5	0.4
24	After sending, this process path of Service Management ends.	1	false	[END(A=end process path of service_management)]	2	2	2	1.0	1.0	1.0
25	For the case that automatic resource restoration from Resource Provisioning is required, Service Management must create a request for automatic resource restoration.	1	false	[EXISTENCE(A=create request for automatic resource)]	3	2	1	0.5	0.3333333333333333	0.4
26	This message is then sent to Resource Provisioning.	1	false	[EXISTENCE(A=send message)]	2	2	2	1.0	1.0	1.0
27	Resource Provisioning has been on-hold and waiting for a restoration request but this must happen within 2 days after the status report was sent out, otherwise Resource Provisioning terminates the process.	3	false	[RESPONSE(A=wait restoration request, B=happen this), PRECEDENCE(A=wait restoration request, B=send status report), PRECEDENCE(A=wait restoration request, B=otherwise)]	0	9	0	0.0	NaN	NaN
28	After the restoration request is received, all possible errors are tracked.	1	false	[PRECEDENCE(A=receive restoration request, B=track possible error)]	3	3	3	1.0	1.0	1.0
29	Based on the tracked errors, all necessary corrective actions are undertaken by Resource Provisioning.	1	false	[PRECEDENCE(A=track error, B=undertake necessary corrective action)]	2	3	0	0.0	0.0	NaN
30	Then a trouble-shooting report is created.	1	false	[EXISTENCE(A=create trouble-shooting report)]	2	2	2	1.0	1.0	1.0
31	This report is sent out to Service Management, then the process ends.	1	false	[END(A=end)]	3	2	1	0.5	0.3333333333333333	0.4
32	The trouble-shooting report is received by Service Management and this information goes then into the creation of the problem resolution report just as described for ii).	1	false	[PRECEDENCE(A=receive trouble-shooting report, B=go information)]	3	3	2	0.6666666666666666	0.6666666666666666	0.6666666666666666
33	Customer Service either receives the actual service performance (if there was no problem) or the problem resolution report.	1	false	[EXISTENCE(A=Customer Service either receives )]	0	2	0	0.0	NaN	NaN
34	Then, two concurrent activities are triggered, i.e. i) a report is created for the customer which details the current service performance and the resolution of the problem, and ii) an SLA violation rebate is reported to Billing & Collections who will adjust the billing.	2	false	[PRECEDENCE(A=trigger 2 concurrent activity, B=create report), PRECEDENCE(A=trigger 2 concurrent activity, B=report sla violation rebate)]	3	6	2	0.3333333333333333	0.6666666666666666	0.4444444444444444
35	The report for the customer is sent out to her.	1	false	[EXISTENCE(A=send report for customer)]	2	2	2	1.0	1.0	1.0
36	After all three activities are completed the process ends within Customer Service.	1	false	[END(A=complete 3 activity)]	0	2	0	0.0	NaN	NaN
37	After the customer then receives the report about service performance and problem resolution from Customer Service, the process flow at the customer also ends.	1	false	[END(A=receive report about service)]	3	2	1	0.5	0.3333333333333333	0.4
				Total	90	128	53	0.414	0.589	0.486
