Id	Text	Constraints	Negative	Constraints extracted	Gold	Predicted	Coincidence	Precision	Recall	F-Score
0	As a basic principle, ACME AG receives invoices on paper or fax.	1	false	[EXISTENCE(A=receive invoice on paper)]	2	2	2	1.0	1.0	1.0
1	These are received by the Secretariat in the central inbox and forwarded after a short visual inspection to an accounting employee.	1	false	[PRECEDENCE(A=receive these, B=forward these)]	2	3	0	0.0	0.0	NaN
2	In "ACME Financial Accounting", a software specially developed for the ACME AG, she identifies the charging suppliers and creates a new instance (invoice).	2	false	[PRECEDENCE(A=develop software, B=identify supplier), PRECEDENCE(A=develop software, B=create new invoice instance)]	3	6	1	0.16666666666666666	0.3333333333333333	0.2222222222222222
3	She then checks the invoice items and notes the corresponding cost center at the ACME AG and the related cost center managers for each position on a separate form ("docket").	1	false	[PRECEDENCE(A=check invoice item, B=note cost center at acme_ag)]	3	3	3	1.0	1.0	1.0
4	The docket and the copy of the invoice go to the internal mail together and are sent to the first cost center manager to the list.	1	false	[PRECEDENCE(A=go docket, B=send docket)]	2	3	0	0.0	0.0	NaN
5	He reviews the content for accuracy after receiving the copy of the invoice.	1	false	[PRECEDENCE(A=receive copy of invoice, B=review content for accuracy)]	0	3	0	0.0	NaN	NaN
6	Should everything be in order, he notes his code one on the docket ("accurate position - AP") and returns the copy of the invoice to the internal mail.	0	false	[]	0	0	0	0.0	NaN	NaN
7	From it, the copy of the invoice is passed on to the next cost center manager, based on the docket, or if all items are marked correct, sent back to accounting.	2	false	[PRECEDENCE(A=pass copy of invoice, B=all items are marked correct ), PRECEDENCE(A=all items are marked correct , B=send)]	6	6	5	0.8333333333333334	0.8333333333333334	0.8333333333333334
8	Therefore, the copy of invoice and the docket gradually move through the hands of all cost center managers until all positions are marked as completely accurate.	1	false	[PRECEDENCE(A=move docket, B=mark copy of invoice)]	0	3	0	0.0	NaN	NaN
9	However, if inconsistencies exist, e.g. because the ordered product is not of the expected quantity or quality, the cost center manager rejects the AP with a note and explanatory statement on the docket, and the copy of the invoice is sent back to accounting directly.	4	true	[PRECEDENCE(A=inconsistencies exist , B=order product), PRECEDENCE(A=inconsistencies exist , B=expect quantity), PRECEDENCE(A=inconsistencies exist , B=reject ap), PRECEDENCE(A=inconsistencies exist , B=send copy of invoice)]	3	13	1	0.07692307692307693	0.3333333333333333	0.125
10	Based on the statements of the cost center managers, she will proceede with the clarification with the vendor, but, if necessary, she consults the cost center managers by telephone or e-mail again.	1	false	[PRECEDENCE(A=proceede clarification, B=consult cost center manager)]	2	3	1	0.3333333333333333	0.5	0.4
11	When all inconsistencies are resolved, the copy of the invoice is sent to the cost center managers again, and the process continues.	2	false	[PRECEDENCE(A=resolve copy of invoice, B=send copy of invoice), PRECEDENCE(A=resolve copy of invoice, B=continue process)]	3	6	3	0.5	1.0	0.6666666666666666
12	After all invoice items are AP, the accounting employee forwards the copy of the invoice to the commercial manager.	1	false	[EXISTENCE(A=forward copy of invoice)]	0	2	0	0.0	NaN	NaN
13	He makes the commercial audit and issues the approval for payment.	1	false	[EXISTENCE(A=make commercial audit)]	3	2	1	0.5	0.3333333333333333	0.4
14	If the bill amount exceeds EUR 20,000, the Board wants to check it again (4-eyes-principle).	1	false	[PRECEDENCE(A=the bill amount exceeds EUR 20,000 , B=want)]	3	3	2	0.6666666666666666	0.6666666666666666	0.6666666666666666
15	The copy of the invoice including the docket moves back to the accounting employee in the appropriate signature file.	1	false	[EXISTENCE(A=move copy of invoice)]	2	2	2	1.0	1.0	1.0
16	Should there be a complaint during the commercial audit, it will be resolved by the accounting employee with the supplier.	1	false	[EXISTENCE(A=resolve commercial audit)]	0	2	0	0.0	NaN	NaN
17	After the commercial audit is successfully completed, the accounting employee gives payment instructions and closes the instance in "ACME financial accounting".	2	false	[PRECEDENCE(A=complete commercial audit, B=give payment instruction), PRECEDENCE(A=complete commercial audit, B=close instance)]	6	6	6	1.0	1.0	1.0
				Total	40	68	27	0.397	0.675	0.5
